date,open,high,low,close,volume
2019-05-10,42.000000,45.000000,41.060001,41.570000,186322500.000000
2019-05-13,38.790001,39.240002,36.080002,37.099998,79442400.000000
2019-05-14,38.310001,39.959999,36.849998,39.959999,46661100.000000
2019-05-15,39.369999,41.880001,38.950001,41.290001,36086100.000000
2019-05-16,41.480000,44.060001,41.250000,43.000000,38115500.000000
2019-05-17,41.980000,43.290001,41.270000,41.910000,20225700.000000
2019-05-20,41.189999,41.680000,39.459999,41.590000,29222300.000000
2019-05-21,42.000000,42.240002,41.250000,41.500000,10802900.000000
2019-05-22,41.049999,41.279999,40.500000,41.250000,9089500.000000
2019-05-23,40.799999,41.090000,40.020000,40.470001,11119900.000000
2019-05-24,41.279999,41.509998,40.500000,41.509998,8786800.000000
2019-05-28,41.700001,41.799999,40.599998,40.950001,13391600.000000
2019-05-29,40.520000,40.709999,39.146999,39.939999,14060400.000000
2019-05-30,40.070000,40.380001,39.500000,39.799999,26451900.000000
2019-05-31,41.150002,41.570000,39.410000,40.410000,23209800.000000
2019-06-03,40.743999,41.849998,40.240002,41.250000,16605300.000000
2019-06-04,42.560001,42.880001,40.700001,42.750000,23432100.000000
2019-06-05,42.869999,45.660000,42.500000,45.000000,28609600.000000
2019-06-06,45.000000,45.750000,44.279999,44.919998,16403700.000000
2019-06-07,44.919998,45.669998,44.130001,44.160000,12654700.000000
2019-06-10,44.020000,44.590000,42.529999,42.610001,11618700.000000
2019-06-11,43.220001,43.650002,41.799999,42.450001,9095000.000000
2019-06-12,42.520000,42.650002,41.709999,42.169998,5965300.000000
2019-06-13,43.049999,44.349998,42.799999,44.310001,10178900.000000
2019-06-14,44.750000,44.799999,43.110001,43.230000,7902200.000000
2019-06-17,43.279999,44.078999,42.930000,43.779999,6557600.000000
2019-06-18,44.299999,44.889999,43.750000,43.860001,7313600.000000
2019-06-19,44.459999,45.500000,43.950001,44.860001,10331500.000000
2019-06-20,45.029999,45.290001,43.509998,43.860001,9567400.000000
2019-06-21,43.849998,44.139999,43.380001,44.000000,4974000.000000
2019-06-24,44.000000,44.070000,42.820000,43.090000,5985100.000000
2019-06-25,43.279999,43.790001,42.443001,43.090000,5753300.000000
2019-06-26,43.250000,43.400002,42.360001,42.500000,8109100.000000
2019-06-27,43.349998,45.299999,43.200001,45.130001,20155100.000000
2019-06-28,45.099998,47.080002,45.080002,46.380001,28657000.000000
2019-07-01,46.980000,47.040001,44.060001,44.270000,17660500.000000
2019-07-02,44.549999,44.680000,43.750000,44.000000,11881300.000000
2019-07-03,44.000000,44.459999,43.790001,44.230000,3380000.000000
2019-07-05,44.310001,44.549999,43.009998,43.529999,8239500.000000
2019-07-08,43.590000,43.849998,42.750000,42.950001,9304100.000000
2019-07-09,43.180000,44.230000,42.980000,44.200001,5251600.000000
2019-07-10,44.480000,44.799999,43.560001,43.700001,9746500.000000
2019-07-11,44.099998,44.290001,43.310001,43.990002,8050900.000000
2019-07-12,44.160000,44.240002,43.389999,43.990002,8760500.000000
2019-07-15,44.200001,44.700001,43.970001,44.529999,5811200.000000
2019-07-16,44.599998,44.980000,44.020000,44.130001,5613300.000000
2019-07-17,44.060001,44.349998,43.520000,43.619999,5854100.000000
2019-07-18,43.500000,43.849998,43.189999,43.709999,4078700.000000
2019-07-19,43.900002,44.085999,43.160000,43.180000,4021000.000000
2019-07-22,43.250000,43.720001,43.009998,43.689999,3815300.000000
2019-07-23,43.750000,44.310001,43.110001,43.360001,5110100.000000
2019-07-24,43.360001,43.869999,43.360001,43.759998,3775700.000000
2019-07-25,43.720001,43.959999,43.209999,43.400002,4412000.000000
2019-07-26,43.419998,44.959999,43.389999,44.520000,7598800.000000
2019-07-29,45.000000,45.626999,43.119999,43.880001,8652200.000000
